PULocationID,count
148,4
243,1748
31,172
85,373
251,4
137,25
65,8668
255,4839
53,54
133,242
78,390
155,301
108,174
193,891
34,108
211,1
126,201
115,34
101,19
81,235
210,1503
183,140
28,249
76,986
26,398
27,1
159,1057
192,158
44,2
253,128
236,1041
223,4922
91,511
222,218
22,369
128,64
209,9
122,201
230,3
93,4573
190,254
225,1045
157,258
233,4
232,19
246,4
111,13
224,4
47,303
177,499
140,32
152,2820
132,23
185,303
146,1509
259,162
206,7
52,3339
212,587
182,551
218,165
16,114
86,90
6,2
168,1107
205,353
178,99
3,139
142,9
40,1555
20,289
164,2
169,403
139,96
94,197
250,301
57,52
54,123
120,26
235,490
96,9
48,11
191,192
163,3
258,116
19,51
92,3064
257,170
227,167
117,111
64,24
41,21265
154,9
43,4399
15,51
262,21
112,1767
165,385
179,2151
189,711
207,4
37,643
61,2713
127,950
197,470
88,1
263,271
202,20
107,9
17,1921
9,86
231,7
72,611
175,43
35,766
196,3112
217,179
229,8
220,371
173,957
114,4
55,867
59,16
4,8
241,284
8,3
100,3
161,4
39,499
23,10
49,2683
176,4
7,17100
162,5
130,7075
244,10036
238,23
136,343
247,1606
87,7
171,99
51,343
194,45
129,10520
166,16305
69,979
97,10586
264,114
239,7
234,5
63,145
77,334
10,216
102,135
50,8
45,11
216,286
38,71
261,2
82,17703
181,6158
249,1
167,378
80,2123
240,30
25,6402
73,49
245,1
237,13
113,9
24,1539
160,122
70,282
62,637
121,299
156,45
219,46
143,10
95,12010
29,292
226,2251
21,204
214,1
256,1850
195,487
98,54
60,206
32,222
90,8
75,25359
203,63
265,110
221,13
141,11
151,21
145,2688
200,88
56,649
254,376
109,1
228,376
213,504
170,25
188,1314
58,39
33,9598
11,120
83,2157
150,163
260,8652
71,533
106,542
68,14
116,5468
147,168
198,182
14,438
123,293
242,890
158,1
248,197
135,246
42,12640
119,475
201,19
79,7
131,143
149,184
118,8
124,57
30,4
184,13
66,7593
67,118
46,33
186,6
174,695
215,263
252,52
153,148
144,6
18,388
74,34843
138,26
180,50
134,3295
36,912
208,154
187,6
89,945
